outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_dprime,l_vta_l_hipp,FA,35,1.6282,0.11046,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,36,1.5887,0.11913,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,37,1.5476,0.12873,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,38,1.5205,0.13538,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,39,1.5063,0.13899,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,40,1.5127,0.13735,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,41,1.5252,0.13421,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,42,1.5351,0.13175,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,43,1.5527,0.1275,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,44,1.6227,0.11164,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,45,1.6753,0.1008,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,46,1.6949,0.09701,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,47,1.7077,0.09459,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,48,1.6965,0.09669,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,49,1.6779,0.10031,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,50,1.6512,0.10566,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,51,1.6303,0.11001,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,52,1.5917,0.11844,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,53,1.5365,0.13142,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,54,1.4991,0.14082,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,55,1.4607,0.15104,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,56,1.4228,0.16169,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,57,1.3838,0.17325,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,58,1.3747,0.17603,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,59,1.3797,0.17449,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,60,1.4069,0.16631,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
